transaction_id,date,sender_name,sender_phone,receiver_name,amount_kes,transaction_type,status
TXN0116556,28-Jan-23,Kimani Kariuki,0760205229,Otieno Otieno,293491.98,Refund,Completed
TXN0128223,2023-12-30,Gitau Kibet,0716126917,Langat Njoroge,245959.77,Sale,Reversed
TXN0104829,2024-01-20,Bett Kibet,768368354,Wairimu Otieno,388057.81,Transfer,Failed
TXN0118361,09/06/2023,Kamau Kariuki,0149571231,Langat Koech,229123.67,Refund,Completed
TXN0120636,2024-02-01,Wambui Akinyi,0787336850,Langat Njoroge,69073.3,TRANSFER,Failed
TXN0127442,2023-12-12,Awino Mwangi,0729202088,Ndoti Kariuki,97021.42,SALE,Failed
TXN0115963,4-Apr-23,Wachira Mwangi,0126564401,Jelimo Ogola,188224.46,Transfer,Reversed
TXN0119631,2024-06-06,Bett Kibet,+254749775226,Syombua Koech,403849.11,refund,Failed
TXN0105112,02/11/2023,Mutua Chebet,0140981871,Chebet Gitau,434882.17,refund,Failed
TXN0125736,23-Nov-23,Kioko Mwangi,0112757810,Mwangi Akinyi,258046.24,Transfer,Reversed
TXN0122097,4-Feb-23,Akinyi Wambui,+254781216816,Nzula Akinyi,412995.04,Sale,Pending
TXN0109839,23-Oct-23,Onyango Ogola,+254798264404,Kamau Kariuki,173950.88,TRANSFER,Completed
TXN0100257,2023-04-17,Kiprotich Musyoka,719349556,Ogola Mwangi,286302.24,Sale,Failed
TXN0101224,10-Dec-23,Sang Wambui,0713561929,Adhiambo Ogola,129548.55,SALE,Pending
TXN0122883,27-Apr-24,Chepkoech Ogola,0142381161,Kioko Ogola,382440.67,Sale,Reversed
TXN0129424,18/07/2023,Muthiani Owino,0188570959,Otieno Kariuki,299695.01,Refund,Pending
TXN0124658,24-Jan-24,Kimani Ogola,712201628,Kariuki Musyoka,288269.95,TRANSFER,Failed
TXN0119483,19-Jan-23,Otieno Akinyi,+254783413938,Njoroge Ogola,233133.36,Transfer,Completed
TXN0121451,26/03/2024,Ogola Mutua,714231662,Mulwa Musyoka,328159.08,refund,Pending
TXN0114212,2024-03-27,Ogola Wambui,+254716707838,Mutua Owino,73130.18,Sale,Reversed
TXN0113214,2024-05-16,Kioko Musyoka,0165454711,Kiplangat Wambui,326728.26,refund,Reversed
TXN0124175,29/12/2023,Kiprotich Kariuki,+254785789118,Kibet Njoroge,348926.9,Sale,Reversed
TXN0107731,23/06/2023,Ochieng Rotich,0725180837,Mwangi Njoroge,156137.37,Transfer,Reversed
TXN0120613,29-Nov-23,Kimani Otieno,757898453,Ogola Rotich,176360.14,refund,Failed
TXN0104313,2023-05-12,Odero Njoroge,0791542151,Koech Kariuki,120877.37,TRANSFER,Completed
TXN0105388,5-Oct-23,Njoroge Odhiambo,778334798,Cherono Owino,15323.8,SALE,Pending
TXN0122337,21/05/2023,Wairimu Njoroge,+254739334913,Auma Wambui,115259.14,Refund,Completed
TXN0115822,4-Aug-23,Langat Koech,0191263208,Koech Odhiambo,402493.23,Sale,Failed
TXN0123260,2023-10-05,Awino Akinyi,0120549776,Kariuki Otieno,404406.75,Refund,Reversed
TXN0129488,2023-03-24,Bett Ogola,+254733524174,Kamau Mwangi,136846.07,SALE,Completed
TXN0122551,02/04/2023,Kamau Odhiambo,0159584087,Njoroge Ogola,89832.14,Transfer,Completed
TXN0109633,13-Feb-23,Mumo Mutua,0773352250,Jelimo Mwangi,38713.99,Refund,Completed
TXN0116740,28/06/2023,Mwende Gitau,+254761410649,Auma Ogola,197345.4,Sale,Failed
TXN0115271,2024-03-14,Mwende Akinyi,0784721783,Syombua Akinyi,156990.03,Transfer,Reversed
TXN0113195,2024-06-20,Kiplangat Odhiambo,+254739417431,Syombua Akinyi,135990.47,Sale,Completed
TXN0125964,9-Apr-24,Kioko Odhiambo,780265711,Odhiambo Otieno,446875.78,refund,Reversed
TXN0109465,27-Feb-23,Kamau Musyoka,0737701142,Ochieng Otieno,25466.18,sale,Failed
TXN0124287,6-Nov-23,Ogola Kamau,+254747512843,Odhiambo Wambui,273394.14,refund,Reversed
TXN0107901,06/03/2023,Kamau Ndinda,+254790113153,Bett Wambui,98035.3,Refund,Pending
TXN0112859,11-Jan-23,Kiplangat Otieno,752851154,Akoth Njoroge,317862.1,Transfer,Reversed
TXN0129201,2023-11-26,Odhiambo Mwangi,+254719788645,Kiplangat Ogola,171249.59,SALE,Failed
TXN0106694,29/05/2023,Bett Kibet,+254749594866,Musyoka Kibet,80979.65,sale,Completed
TXN0102956,21-Mar-24,Otieno Mwangi,0714622935,Chebet Ogola,105598.54,refund,Failed
TXN0112872,2023-10-15,Odero Mutua,+254773290349,Onyango Akinyi,309195.43,Transfer,Completed
TXN0117785,08/06/2024,Kimani Kibet,+254758720068,Syombua Chebet,2398.71,Refund,Failed
TXN0106921,2023-08-09,Wanjiku Akinyi,743131028,Chepkoech Kibet,234419.65,SALE,Completed
TXN0128750,29/05/2023,Wairimu Wambui,0166687750,Kamau Kibet,107247.5,Transfer,Completed
TXN0116282,25/06/2023,Kariuki Njoroge,0116853776,Awino Kibet,312239.08,refund,Completed
TXN0100522,19/04/2023,Syombua Akinyi,+254718943530,Mwende Musyoka,365193.89,Transfer,Reversed
TXN0103091,2023-07-07,Njeri Mwangi,0180847814,Mumo Musyoka,194749.28,Refund,Completed
TXN0108367,17/04/2023,Njoroge Njoroge,0155721383,Odhiambo Ogola,18701.91,refund,Completed
TXN0106439,11-Sep-23,Njoroge Koech,0748681886,Chebet Owino,139794.66,TRANSFER,Failed
TXN0114964,26/10/2023,Onyango Mutua,766788928,Ochieng Chebet,335689.99,Refund,Completed
TXN0119431,2023-03-29,Mutua Otieno,+254729688837,Mwende Koech,210104.53,sale,Completed
TXN0125103,04/05/2024,Ochieng Ogola,0739938959,Njoroge Wambui,28018.92,refund,Failed
TXN0116187,29/02/2024,Wambui Wambui,0139524631,Syombua Njoroge,322447.56,refund,Completed
TXN0101294,06/06/2023,Wambui Owino,0796495758,Njeri Kibet,194647.76,Refund,Reversed
TXN0121984,22-Jun-24,Njeri Akinyi,+254757622263,Kioko Otieno,305439.37,sale,Completed
TXN0123505,2023-01-09,Otieno Ogola,795997790,Kiprotich Chebet,374738.65,Transfer,Pending
TXN0112163,2023-10-24,Otieno Otieno,+254768367257,Langat Chebet,76334.28,refund,Failed
TXN0116006,03/05/2023,Nzula Chebet,0755847157,Odhiambo Kibet,418192.49,SALE,Reversed
TXN0110171,2023-07-06,Wachira Mwangi,0154867023,Akoth Koech,101830.14,refund,Pending
TXN0110279,2023-12-27,Njoroge Odhiambo,751570760,Kiprotich Ndinda,176119.91,sale,Completed
TXN0114642,22-Jan-24,Kiplangat Odhiambo,+254751378051,Mulwa Koech,330805.43,sale,Completed
TXN0116433,26-Jan-24,Gitau Gitau,0184192768,Bett Odhiambo,194238.22,Sale,Pending
TXN0118803,21/05/2024,Rotich Mutua,+254787669139,Chepkoech Ogola,19809.68,refund,Reversed
TXN0109205,2023-07-23,Nzula Kibet,+254716310620,Muthiani Kariuki,132644.91,Sale,Failed
TXN0105899,5-Mar-24,Kariuki Odhiambo,711459881,Chepkoech Kariuki,126658.14,Refund,Failed
TXN0113540,12-Jun-24,Kamau Ogola,0183124291,Rotich Odhiambo,260196.11,Transfer,Reversed
TXN0102735,28-Jan-23,Chepkoech Owino,792448428,Musyoka Koech,74626.34,SALE,Reversed
TXN0111672,31/07/2023,Rotich Ogola,747719035,Jelimo Musyoka,90966.63,TRANSFER,Pending
TXN0113554,04/02/2023,Njoroge Chebet,794928671,Akinyi Odhiambo,14427.07,sale,Reversed
TXN0102096,08/06/2023,Ndinda Kamau,0713104633,Ochieng Chebet,22399.17,Transfer,Reversed
TXN0121531,1-Jul-23,Wambui Koech,0113066392,Akoth Wambui,135268.32,Transfer,Pending
TXN0115572,2024-01-12,Wambui Kamau,0180482769,Kipchoge Koech,430127.37,SALE,Completed
TXN0115529,2023-05-26,Kioko Koech,0187279438,Mumo Njoroge,427359.39,Sale,Failed
TXN0127111,2023-03-05,Wanjiku Owino,+254774997384,Odhiambo Musyoka,180128.7,SALE,Reversed
TXN0109695,13-Nov-23,Odero Mutua,0765634640,Awino Kamau,154826.61,Transfer,Pending
TXN0124201,07/05/2024,Jelimo Mwangi,0126512830,Rotich Mutua,14581.67,Transfer,Completed
TXN0112444,25-Jul-23,Odhiambo Ogola,0169678453,Odhiambo Koech,289703.3,sale,Reversed
TXN0129204,2023-09-21,Kioko Njoroge,+254711734049,Wairimu Njoroge,95992.54,Transfer,Reversed
TXN0105049,2023-07-12,Chepkoech Ogola,0792370693,Muthiani Rotich,29557.98,Refund,Pending
TXN0111002,06/10/2023,Kipchoge Ogola,0752883167,Owino Akinyi,40515.34,sale,Completed
TXN0128618,19-May-24,Mutua Mutua,0189982263,Sang Akinyi,356898.67,Transfer,Reversed
TXN0128544,8-May-24,Bett Ndinda,0773682112,Odero Mwangi,406630.94,Sale,Reversed
TXN0125953,13/09/2023,Mwangi Odhiambo,0118470153,Gitau Otieno,279815.56,TRANSFER,Pending
TXN0123825,15/03/2023,Mwangi Ndinda,0794935538,Mwende Otieno,22268.68,Refund,Reversed
TXN0114526,2024-01-30,Wachira Kibet,798406502,Koech Mwangi,416482.89,refund,Completed
TXN0124698,12/03/2023,Kiprotich Gitau,0118624842,Kibet Odhiambo,371237.77,TRANSFER,Pending
TXN0127282,2023-04-05,Nzula Mwangi,+254752357659,Ndoti Kamau,152196.08,Refund,Failed
TXN0110372,20-Jun-24,Rotich Otieno,0793362490,Chepkoech Otieno,324532.5,sale,Completed
TXN0122704,5-Oct-23,Njoroge Mwangi,+254787549527,Wanjiku Kamau,410460.26,Sale,Completed
TXN0106818,20-Jun-24,Gitau Wambui,0718321132,Otieno Mwangi,401721.88,SALE,Failed
TXN0110817,2024-02-10,Njeri Musyoka,0743304492,Odero Kamau,174663.66,refund,Failed
TXN0111854,9-Apr-23,Ochieng Kibet,+254761617691,Musyoka Ndinda,302401.6,TRANSFER,Reversed
TXN0127573,1-Mar-24,Muthiani Mwangi,0172339592,Langat Njoroge,342552.55,Transfer,Failed
TXN0128598,2023-09-29,Mumo Musyoka,+254775740289,Ogola Otieno,364146.02,Refund,Reversed
TXN0115381,14-May-23,Wanjiku Ndinda,+254756222353,Awino Wambui,70967.63,Transfer,Completed
TXN0125774,13-Jun-24,Auma Kariuki,+254766532573,Odero Ndinda,401480.2,sale,Reversed
TXN0128253,01/06/2023,Koech Otieno,717201719,Mumo Koech,31937.41,TRANSFER,Reversed
TXN0104788,31-Aug-23,Akoth Akinyi,+254711134109,Kiplangat Njoroge,332218.02,SALE,Failed
TXN0102005,2023-03-15,Nzula Kamau,0737945386,Ndinda Ndinda,200569.42,TRANSFER,Completed
TXN0124133,26-May-24,Ogola Mutua,0768138781,Koech Odhiambo,173692.81,Refund,Failed
TXN0123828,14-Jan-23,Wanjiku Ogola,790327793,Adhiambo Rotich,27326.06,Refund,Pending
TXN0119061,2023-12-07,Mutua Chebet,0114030114,Musyoka Akinyi,111657.97,SALE,Completed
TXN0125234,20/01/2024,Wachira Otieno,0173707730,Rotich Akinyi,208234.8,Transfer,Completed
TXN0104428,4-Jul-23,Kiplangat Chebet,762472979,Kipchoge Odhiambo,406281.81,Transfer,Failed
TXN0110852,2023-03-07,Jelimo Ndinda,+254746324210,Rotich Ogola,246674.92,SALE,Failed
TXN0115052,15-Jan-24,Mwende Odhiambo,0743831001,Chepkoech Kariuki,319991.54,refund,Pending
TXN0101954,4-Mar-24,Mutua Njoroge,0130487363,Nyambura Gitau,442605.11,refund,Reversed
TXN0112210,2024-04-11,Odhiambo Gitau,0186470946,Mwende Otieno,313551.8,SALE,Completed
TXN0119405,19/03/2023,Akinyi Otieno,0185585442,Kioko Kibet,251751.25,sale,Completed
TXN0112799,2024-01-14,Odhiambo Kamau,+254766428839,Nzula Wambui,298287.25,sale,Completed
TXN0128406,2023-02-10,Sang Owino,0712622772,Koech Koech,289326.98,Transfer,Failed
TXN0110812,2023-05-15,Kiprotich Kibet,0175252032,Chepkoech Njoroge,44156.38,Refund,Reversed
TXN0100391,08/07/2023,Nyambura Akinyi,0794363871,Odhiambo Mwangi,178700.66,Sale,Completed
TXN0121997,01/01/2024,Kamau Kariuki,+254770577862,Langat Kariuki,153118.52,SALE,Reversed
TXN0104572,2023-12-05,Mutua Mutua,772524898,Bett Kibet,,Transfer,Failed
TXN0105475,19-Nov-23,Awino Odhiambo,0779319142,Kioko Kariuki,236429.42,Refund,Completed
TXN0112825,29/10/2023,Nzula Odhiambo,+254756184702,Njeri Owino,277009.5,Refund,Failed
TXN0129261,29/12/2023,Njoroge Mutua,735453159,Wairimu Owino,309538.97,refund,Pending
TXN0129463,31/05/2024,Auma Koech,0165782061,Kamau Koech,360568.14,SALE,Failed
TXN0122138,11-Oct-23,Sang Otieno,0167298710,Nyambura Njoroge,59219.8,Transfer,Completed
TXN0112747,17/05/2023,Kariuki Owino,0711172653,Kibet Ndinda,393927.12,refund,Reversed
TXN0121271,2023-01-12,Mwangi Mwangi,751105427,Njeri Akinyi,67934.58,SALE,Pending
TXN0100780,2023-04-19,Cherono Kamau,0147628993,Otieno Gitau,299686.41,Transfer,Completed
TXN0116182,2023-05-25,Ndoti Wambui,756534558,Awino Musyoka,69671.57,Sale,Pending
TXN0129210,13/06/2024,Kiprotich Mwangi,0187516655,Wairimu Ndinda,177661.79,Transfer,Reversed
TXN0108083,17/01/2024,Ochieng Ndinda,750355836,Ndinda Musyoka,27097.86,TRANSFER,Reversed
TXN0120817,23/05/2024,Kioko Koech,711601145,Onyango Kamau,258974.39,sale,Pending
TXN0104091,15-Jun-24,Kiprotich Odhiambo,+254719499647,Kipchoge Ogola,449968.59,Refund,Completed
TXN0108742,18/05/2023,Chepkoech Njoroge,763264162,Kamau Njoroge,224064.45,sale,Pending
TXN0107022,2023-10-22,Nyambura Akinyi,+254738460786,Jelimo Koech,141854.97,Sale,Pending
TXN0117157,2024-03-03,Kariuki Chebet,+254765926947,Otieno Ndinda,102511.83,Transfer,Reversed
TXN0101732,2023-10-03,Akoth Wambui,761715332,Sang Musyoka,426147.9,sale,Pending
TXN0125206,2024-05-29,Akinyi Kamau,+254762494602,Nyambura Njoroge,62240.06,Sale,Reversed
TXN0103828,2023-01-15,Wairimu Musyoka,791391829,Syombua Chebet,377024.28,SALE,Pending
TXN0114737,4-Jun-24,Wanjiku Kamau,0181130481,Odero Koech,141284.32,Sale,Completed
TXN0105891,2023-04-24,Ndinda Musyoka,+254751940578,Mutua Otieno,53180.82,Sale,Completed
TXN0114489,26-Jan-23,Kibet Koech,0717505810,Akoth Rotich,49260.26,SALE,Failed
TXN0109606,07/02/2023,Cherono Njoroge,776427910,Njoroge Njoroge,,Refund,Completed
TXN0103983,28-Sep-23,Sang Kamau,789672594,Sang Gitau,115872.38,refund,Reversed
TXN0104866,26-Apr-23,Nzula Akinyi,0192222979,Mumo Akinyi,296133.99,TRANSFER,Pending
TXN0115670,25-Feb-23,Syombua Koech,+254758704890,Ogola Kamau,206497.77,TRANSFER,Pending
TXN0121694,21/04/2023,Gitau Njoroge,0153747900,Chepkoech Kariuki,404523.23,sale,Reversed
TXN0105349,14/08/2023,Kiprotich Njoroge,798130239,Mulwa Ogola,282145.28,Transfer,Completed
TXN0122971,11/04/2023,Cherono Gitau,770507390,Chebet Musyoka,35034.71,Refund,Pending
TXN0103449,31/05/2023,Muthiani Kibet,0786834059,Mutua Musyoka,4078.95,Sale,Failed
TXN0129181,21-Mar-24,Ndoti Gitau,0149739517,Kibet Gitau,188889.85,Refund,Failed
TXN0126139,22-Mar-23,Awino Njoroge,0187278468,Onyango Musyoka,18049.1,Sale,Pending
TXN0125638,2024-05-28,Langat Akinyi,+254793561291,Mumo Kariuki,328602.36,TRANSFER,Reversed
TXN0106114,17-Dec-23,Kimani Ndinda,0793165204,Kipchoge Musyoka,59546.25,Sale,Failed
TXN0115144,6-Feb-24,Syombua Chebet,+254749239801,Gitau Mutua,348471.15,Transfer,Pending
TXN0113357,30-Sep-23,Otieno Mutua,795168072,Kiprotich Mutua,294953.69,refund,Failed
TXN0119629,2023-08-29,Njoroge Akinyi,0716875430,Cherono Akinyi,66105.47,Transfer,Completed
TXN0123854,12-Jul-23,Langat Mutua,777847327,Bett Gitau,21420.45,refund,Failed
TXN0110523,20-Jun-24,Ndoti Ndinda,746698074,Cherono Ndinda,245272.88,Refund,Completed
TXN0112125,2024-06-12,Rotich Owino,713703625,Gitau Kibet,94514.79,refund,Pending
TXN0114673,28/11/2023,Langat Odhiambo,+254755923021,Kioko Kibet,295193.46,Refund,Pending
TXN0111262,2023-10-26,Mutua Rotich,785168170,Langat Mutua,128884.41,Sale,Failed
TXN0113601,14/02/2024,Awino Musyoka,0761979794,Njoroge Wambui,110952.43,SALE,Failed
TXN0102396,2023-12-27,Odero Mutua,0120774838,Kiplangat Koech,378689.01,sale,Reversed
TXN0122043,2023-08-05,Jelimo Kibet,+254795958426,Adhiambo Gitau,186861.19,sale,Failed
TXN0113505,25/02/2024,Auma Mwangi,0170792019,Kibet Koech,78336.25,refund,Failed
TXN0125060,2023-03-03,Chebet Ndinda,0790514543,Onyango Gitau,52234.35,Sale,Failed
TXN0107681,05/06/2024,Kiplangat Ogola,0110573321,Akinyi Gitau,222846.37,SALE,Completed
TXN0108035,2023-05-09,Syombua Koech,0745184995,Ndinda Kibet,92200.94,refund,Reversed
TXN0112777,20/05/2023,Mulwa Kamau,0154860569,Musyoka Koech,391028.89,Sale,Failed
TXN0102567,12-Jun-23,Koech Kibet,0147102357,Gitau Mutua,317604.05,sale,Reversed
TXN0118988,2024-02-01,Owino Musyoka,0718598616,Ogola Koech,334944.44,sale,Failed
TXN0101580,24/08/2023,Kimani Owino,0745900529,Syombua Mwangi,190741.18,Sale,Completed
TXN0120626,2023-08-20,Nzula Akinyi,0728397503,Auma Otieno,210178.81,sale,Pending
TXN0120519,2023-05-13,Kioko Kariuki,772399372,Onyango Owino,334185.06,SALE,Completed
TXN0121174,26-Feb-24,Owino Akinyi,+254770386278,Mulwa Mwangi,28930.53,sale,Completed
TXN0115316,17/06/2024,Njeri Chebet,0736169327,Onyango Odhiambo,179655.82,Transfer,Reversed
TXN0111947,29-Mar-23,Gitau Ndinda,0730401522,Kiplangat Koech,274254.35,sale,Failed
TXN0100097,5-Mar-24,Kibet Wambui,0190092958,Ndoti Kamau,284398.13,refund,Pending
TXN0117334,19-Jun-23,Akoth Wambui,0180481935,Mumo Rotich,337296.13,refund,Reversed
TXN0121423,2023-12-11,Kimani Ndinda,0153391944,Auma Chebet,386639.95,Sale,Reversed
TXN0100725,22/08/2023,Sang Ndinda,0171928212,Akoth Mutua,140918.02,SALE,Reversed
TXN0128610,2023-09-22,Odhiambo Ogola,0188796753,Kioko Koech,361677.7,Refund,Failed
TXN0103843,21-May-24,Cherono Akinyi,+254760409731,Syombua Ndinda,207176.49,sale,Reversed
TXN0114837,2023-08-23,Mumo Musyoka,780351353,Ndinda Koech,162308.66,sale,Reversed
TXN0105447,15-Mar-23,Kioko Wambui,0111052488,Gitau Mwangi,397000.46,refund,Pending
TXN0120577,02/06/2023,Musyoka Njoroge,+254748166985,Ochieng Gitau,69246.06,SALE,Completed
TXN0117413,2023-02-07,Awino Njoroge,+254743546708,Mwende Owino,290484.5,SALE,Completed
TXN0113774,12-Mar-23,Ogola Kariuki,0156931183,Syombua Koech,16558.72,TRANSFER,Pending
TXN0114523,5-Jun-23,Njoroge Kibet,763429598,Njoroge Mutua,249592.94,refund,Pending
TXN0109946,21/07/2023,Cherono Ogola,734556416,Wairimu Njoroge,327657.78,SALE,Pending
TXN0112235,23-Jul-23,Awino Rotich,0786788308,Cherono Kibet,278773.74,Sale,Failed
TXN0102872,23-Mar-23,Kamau Mwangi,+254790996023,Akoth Odhiambo,34258.12,SALE,Reversed
TXN0101927,27-May-24,Auma Chebet,0768371390,Kioko Akinyi,197272.98,Transfer,Completed
TXN0116602,27-Feb-23,Njeri Kariuki,795205631,Ogola Owino,435554.89,Refund,Reversed
TXN0109759,30-Mar-23,Nzula Otieno,769597344,Kiplangat Wambui,327449.03,Sale,Pending
TXN0110209,2023-09-06,Njeri Kariuki,+254790975481,Kiprotich Chebet,43655.16,refund,Completed
TXN0128166,31-Oct-23,Musyoka Owino,0717301289,Koech Chebet,361666.44,Refund,Pending
TXN0126666,13/11/2023,Kipchoge Odhiambo,0119177403,Jelimo Owino,270438.54,sale,Completed
TXN0110729,29/06/2023,Akoth Mutua,0772474185,Kibet Gitau,80529.26,Sale,Failed
TXN0102153,19/10/2023,Odhiambo Odhiambo,0193942023,Sang Odhiambo,411129.25,Refund,Reversed
TXN0126659,11-Dec-23,Onyango Otieno,0747783394,Rotich Ogola,61002.41,TRANSFER,Completed
TXN0108756,2024-05-11,Kioko Njoroge,+254776888268,Auma Owino,66835.39,sale,Completed
TXN0129326,24/05/2024,Owino Mwangi,0121033073,Kamau Odhiambo,26731.46,Sale,Reversed
TXN0107169,26/01/2023,Ochieng Mwangi,0152842504,Rotich Owino,198987.78,Transfer,Completed
TXN0101501,11-Feb-24,Bett Kariuki,+254743170420,Akinyi Ndinda,,Sale,Pending
TXN0107213,22-Jun-23,Ndoti Kibet,+254775815134,Ogola Ogola,177962.28,Refund,Pending
TXN0110080,08/07/2023,Wairimu Rotich,0788303843,Jelimo Kamau,434486.14,Sale,Completed
TXN0100597,17/11/2023,Musyoka Owino,0183492593,Njoroge Kamau,282548.38,refund,Pending
TXN0118501,2023-04-14,Mumo Chebet,+254780399225,Odhiambo Odhiambo,307520.0,sale,Completed
TXN0124894,25-Dec-23,Odhiambo Koech,0733352905,Muthiani Wambui,248018.44,refund,Reversed
TXN0123983,05/11/2023,Musyoka Kariuki,+254786365419,Otieno Njoroge,395849.4,Sale,Completed
TXN0108314,2023-03-26,Nzula Mwangi,0163539335,Auma Mutua,369065.69,TRANSFER,Completed
TXN0100155,2024-06-28,Otieno Akinyi,+254768462974,Auma Ndinda,421837.79,Transfer,Completed
TXN0107014,16/03/2023,Adhiambo Chebet,0155565717,Kimani Rotich,317920.71,refund,Completed
TXN0100717,25-May-24,Nzula Mwangi,751847096,Muthiani Kibet,322056.66,Refund,Reversed
TXN0106442,2024-03-06,Nyambura Chebet,739997798,Cherono Koech,400509.48,TRANSFER,Completed
TXN0117661,17-Jul-23,Kioko Akinyi,+254755497364,Wachira Wambui,,refund,Failed
TXN0115748,2023-01-12,Wairimu Wambui,0756483591,Owino Kibet,385301.66,SALE,Reversed
TXN0103079,6-Feb-23,Rotich Odhiambo,742124660,Adhiambo Wambui,222844.99,refund,Completed
TXN0124459,30-Jan-24,Odhiambo Ogola,+254767292190,Njeri Ogola,371812.83,Sale,Failed
TXN0107862,21/04/2023,Wairimu Rotich,+254797879050,Muthiani Mwangi,391801.03,Sale,Failed
